AA,AUA,America/Aruba
AC,ANU,America/Antigua
AC,BBQ,America/Antigua
AE,AAN,Asia/Dubai
AE,AUH,Asia/Dubai
AE,AZI,Asia/Dubai
AE,DWC,Asia/Dubai
AE,DXB,Asia/Dubai
AE,FJR,Asia/Dubai
AE,NHD,Asia/Dubai
AE,RKT,Asia/Dubai
AE,SHJ,Asia/Dubai
AE,XSB,Asia/Dubai
AF,AZ3,Asia/Kabul
AF,BIN,Asia/Kabul
AF,BST,Asia/Kabul
AF,CCN,Asia/Kabul
AF,FBD,Asia/Kabul
AF,HEA,Asia/Kabul
AF,JAA,Asia/Kabul
AF,KBL,Asia/Kabul
AF,KDH,Asia/Kabul
AF,KHT,Asia/Kabul
AF,MMZ,Asia/Kabul
AF,MZR,Asia/Kabul
AF,TII,Asia/Kabul
AF,UND,Asia/Kabul
AF,ZAJ,Asia/Kabul
AG,AAE,Africa/Algiers
AG,ALG,Africa/Algiers
AG,AZR,Africa/Algiers
AG,BJA,Africa/Algiers
AG,BLJ,Africa/Algiers
AG,BMW,Africa/Algiers
AG,BSK,Africa/Algiers
AG,CBH,Africa/Algiers
AG,CZL,Africa/Algiers
AG,DJG,Africa/Algiers
AG,ELG,Africa/Algiers
AG,ELU,Africa/Algiers
AG,GHA,Africa/Algiers
AG,GJL,Africa/Algiers
AG,HME,Africa/Algiers
AG,HRM,Africa/Algiers
AG,IAM,Africa/Algiers
AG,INZ,Africa/Algiers
AG,LOO,Africa/Algiers
AG,MUW,Africa/Algiers
AG,OGX,Africa/Algiers
AG,ORN,Africa/Algiers
AG,QAS,Africa/Algiers
AG,QDJ,Africa/Algiers
AG,QFD,Africa/Algiers
AG,QSF,Africa/Algiers
AG,TAF,Africa/Algiers
AG,TEE,Africa/Algiers
AG,TGR,Africa/Algiers
AG,TID,Africa/Algiers
AG,TIN,Africa/Algiers
AG,TLM,Africa/Algiers
AG,TMR,Africa/Algiers
AG,TMX,Africa/Algiers
AG,VVZ,Africa/Algiers
AJ,GBB,Asia/Baku
AJ,GYD,Asia/Baku
AJ,KVD,Asia/Baku
